2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35208 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35208@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35212 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35212@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35220 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35220@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35224 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35224@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35228 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35228@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35234 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35234@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35236 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35236@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35240 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35240@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35248 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35248@61616
2018-09-10 14:12:58,290 | WARN  | Transport Connection to: tcp://127.0.0.1:35252 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:35252@61616
