Name,Status,Protocol,Vendor,Device Type,Supported products,Installed version,Available version,Nodes in use,Fault license,Performance license,Last modified
"alcatelsam","Available","Api","Alcatel","","","","6.0.10","0","","",""
"allied-telesis-9100","Available","Snmp","Allied-Telesis","Unknown","AT9100","","6.0.10","0","","",""
"allied-telesis-9700","Available","Snmp","Allied-Telesis","Unknown","AT9700","","6.0.10","0","","",""
"allied-telesis-9810","Available","Snmp","Allied-Telesis","Unknown","AT9810","","6.0.10","0","","",""
"allied-telesis-9900","Available","Snmp","Allied-Telesis","Unknown","AT9900","","6.0.10","0","","",""
"alpha-alphanet-dsm","Available","Snmp","Alpha","UPS","UPS","","6.0.10","0","","",""
"alpha-cordex-hp","Available","Snmp","Alpha","Rectifier","cordex-hp","","6.0.10","0","","",""
"alpha-ups-fxm","Available","Snmp","Alpha Technologies","UPS","FXM UPS","","6.0.10","0","","",""
"alvarion-breezemax-macro","Available","Snmp","Alvarion","Unknown"," BreezeMAX Macro","","6.0.10","0","","",""
"alvarion-breezemax-micro","Available","Snmp","Alvarion","Unknown","BreezeMAX Micro","","6.0.10","0","","",""
"am-9362","Available","Snmp","AM Communications","Power Equipment","Transponder","","6.0.10","0","","",""
"apc-smart-ups","Available","Snmp","apc","UPS","smart-ups","","6.0.10","0","","",""
"arbornet-peakflow","Available","Snmp","Arbor Networks","Unknown","Peakflow","","6.0.10","0","","",""
"argus-cxc-controller","Available","Snmp","Argus Technologies","Rectifier","CXC Controller","","6.0.10","0","","",""
"arris-c4","Available","Snmp","ARRIS","CMTS","ARRIS C4 CMTS","","6.0.10","0","","",""
"arris-e6000","Available","Snmp","ARRIS","CMTS","ARRIS E6000 CMTS","","6.0.10","0","","",""
"arris-egt-encoder","Available","Snmp","ARRIS","Video Processor","Arris EGT Quartet Encoder","","6.0.10","0","","",""
"arris-modem","Available","Snmp","ARRIS","Cable Modem","Arris Modem","","6.0.10","0","","",""
"arris-mta","Available","Snmp","Arris","MTA","*","","6.0.10","0","","",""
"arris-vipr","Available","Snmp","ARRIS","Video Processor","ARRIS-VIPR","","6.0.10","0","","",""
"asc-multistream","Available","Snmp","ASC","Switch","MultiStream","","6.0.10","0","","",""
"asentria-siteboss-420","Available","Snmp","Asentria","ESP","SiteBoss 420","","6.0.10","0","","",""
